date,text,source
2026-01-31,carrick backs man utd fan support new protest,BBC Sport
2026-02-01,manchester united vs fulham team news confirmed team news cunha replaces dorgu carricks xi,101Greatgoals.Com
2026-02-01,manchester united v fulham premier league live,The Guardian
2026-01-29,premier league withdrew ryan giggss hall fame invitation amid court case,The Guardian
2026-01-27,blow manchester united carrick dorgu facing lengthy spell,The Guardian
2026-01-27,david squires manchester united giving arsenal title wobbles,The Guardian
2026-01-26,carricks cult common sense gets manchester united believing,The Guardian
2026-01-26,premier league 10 talking points weekends action,The Guardian
2026-01-25,got punished arteta rues errors arsenals title tilt stalls united loss,The Guardian
2026-01-25,artetas team ruthless cyborgs malfunction way human jonathan wilson,The Guardian
2026-01-25,arsenal 23 manchester united premier league happened,The Guardian
2026-01-25,cunhas stunner earns manchester united thrilling late win arsenal,The Guardian
2026-01-24,respect awful lot carrick reveals solskjr backing manchester united role,The Guardian
2026-01-24,carrick nailed quick fixes manchester united new solskjr? jonathan wilson,The Guardian
2026-01-22,"casemiro leave manchester united summer, chelsea want douglas luiz",The Guardian
2026-01-19,premier league 10 talking points weekends action,The Guardian
2026-01-18,lisandro martnez hits back scholes manchester united punditocracy,The Guardian
2026-01-17,carrick dream start mbeumo dorgu give manchester united derby delight,The Guardian
2026-01-17,carricks restoration uniteds dogged spirit old trafford crackling john brewin,The Guardian
2026-02-01,"manchester united vs fulham premier league live latest score, team news updates red devils look continue resurgence new head coach michael carrick following wins manchester city arsenal",The Daily Mail
2026-01-31,michael carrick challenges man united shut supporter unrest maintain fairytale run interim boss fulham,The Daily Mail
2026-01-31,revealed bold call michael carrick make ex teammate marcus rashfords future lands fulltime man united job,The Daily Mail
2026-01-30,"premier league recap michael carrick gives worrying injury update inform patrick dorgu, reason pep guardiolas press conference absence revealed updates rest",The Daily Mail
2026-01-29,roy keane makes sudden uturn michael carrick getting man united job permanently previous war words involving interim managers wife hope give,The Daily Mail
